1,1,OVERVIEW,14
2,2,GENERAL REQUIREMENTS,15
3,2.1,ADDITIONAL DELIVERABLES,15
4,3,HARDWARE,16
5,3.1,HARDWARE DEVICE-ID,16
6,3.2,REFERENCE ARCHITECTURE,16
7,3.3,ENVIRONMENTAL REQUIREMENTS,16
8,3.3.1,Operational,16
9,3.3.2,Warehousing,17
10,3.3.3,Transporting/Packaging,17
11,3.4,POWER,17
12,3.4.1,Power Connector,17
13,3.4.2,Power Switch,17
14,3.5,RESET BUTTON,17
15,3.6,WAN CONNECTOR,17
16,3.7,LAN CONNECTOR,18
17,3.8,WLAN ANTENNAS,18
18,3.9,WLAN/WPS BUTTON,18
19,3.10,FXS ANALOGUE CONNECTOR,18
20,3.11,ISDN S0 CONNECTOR,18
21,3.12,ISDN PLUG - 4 WIRE CLIP CONTACTS,19
22,3.13,DECT BUTTON,19
23,3.14,DECT,19
24,3.15,USB PORT,19
25,3.16,LEDS,20
26,4,RG SERVICE MODEL,22
27,4.1,OVERVIEW,22
28,4.2,IP REQUIREMENTS,22
29,4.2.1,IPv4 General Requirements,22
30,4.2.2,IPv6 General Requirements,23
31,5,WAN SERVICE MODELS DEFINITION,24
32,5.1,OVERVIEW,24
33,5.2,SERVICE MODELS DECLARATION,24
34,5.2.1,Service Model Version Appendix,25
35,5.3,WAN SERVICE MODEL ELEMENTS,25
36,5.3.1,Access Technology,25
37,5.3.2,PPP Session Models,26
38,5.3.2.1,PPP Dual Session Model,26
39,5.3.2.2,PPP Single Session Model,26
40,6,WAN OPERATIONS,28
41,6.1,OVERALL PROCESS,28
42,6.2,RG ACTIVATION,29
43,6.2.1,Physical Layer Detection,29
44,6.2.2,Service Model Detection,30
45,6.2.2.1,ADSL2+/Annex B,32
46,6.2.2.2,ADSL2+/Annex J,32
47,6.2.2.3,VDSL2,33
48,6.2.2.4,Ethernet,34
49,6.2.3,PPP Activation Session,35
50,6.2.3.1,Credentials for PPP Activation Session,36
51,6.2.3.2,PIN Introduction for PPP Activation Session,36
52,6.2.3.3,PIN Syntax Check,37
53,6.2.4,RG Activated,39
54,6.3,REGULAR OPERATIONS,40
55,6.3.1,Physical Layer Link,40
56,6.3.2,PPP VoIP Session Setup,41
57,6.3.3,PPP VoIP Disconnection Model,41
58,6.3.3.1,Process Disconnection Trigger,42
59,6.3.3.2,Sub-process Disconnection Execution,42
60,6.3.3.3,Blocking events,42
61,6.3.3.4,Starting timer,42
62,6.3.3.5,Sample cycle without random part,43
63,6.3.3.6,Sample cycle with random part,44
64,6.3.4,PPP BBI Session Setup,45
65,6.3.5,PPP BBI Disconnection Model,46
66,6.3.5.1,Disconnection Trigger,46
67,6.3.5.2,Sub-Process Executing Disconnection,46
68,6.3.6,NTP Time Synchronization,46
69,7,WAN REQUIREMENTS,48
70,7.1,SERVICE MODEL IP TRAFFIC PRIORITIZATION,48
71,7.2,SERVICE MODEL NETWORKING CONFIGURATIONS,49
72,7.2.1,ADSL2+/Annex B,49
73,7.2.1.1,Protocol Stack,49
74,7.2.1.2,ADSL2+/B/Dual,49
75,7.2.1.3,ADSL2+/B/Single,50
76,7.2.2,ADSL2+ /Annex J,50
77,7.2.2.1,Protocol Stack for Dual Session (Without 802.1Q),50
78,7.2.2.2,ADSL2+/J/Dual,50
79,7.2.2.3,Protocol Stack for Single Session (With 802.1Q),51
80,7.2.2.4,ADSL2+/J/Single,51
81,7.2.3,VDSL2,52
82,7.2.3.1,VDSL2 Protocol Stack,52
83,7.2.3.2,VDSL2/Dual,52
84,7.2.3.3,VDSL2/Single,53
85,7.2.4,Ethernet,53
86,7.2.4.1,Ethernet Protocol Stack,53
87,7.2.4.2,Ethernet/Dual,54
88,7.2.4.3,Ethernet/Single,55
89,7.3,ACCESS TECHNOLOGY REQUIREMENTS,55
90,7.3.1,ADSL2+,55
91,7.3.2,VDSL2,56
92,7.3.2.1,VDSL2 Vectoring,56
93,7.3.3,Ethernet,57
94,7.4,LAYER 2 REQUIREMENTS,57
95,7.4.1,ADSL2+ ATM Layer functionality,57
96,7.4.2,Ethernet over PTM/TC Layer Functionality,57
97,7.4.3,Ethernet Layer Functionality,58
98,7.5,PPP REQUIREMENTS,58
99,7.5.1,PPP Client,58
100,7.5.1.1,Connection/Disconnection,59
101,7.5.1.2,On-Demand Connection,59
102,7.5.1.3,Disconnection,59
103,7.5.2,PPP IPv6 support,59
104,7.5.3,PPPoE Pass-Through,59
105,7.6,PPP VOIP SESSION,60
106,7.6.1,IPv6 Support,60
107,7.6.2,Session Connection Mode,60
108,7.7,PPP BBI SESSION,60
109,7.7.1,Session Connection Mode,60
110,7.8,IP,60
111,7.8.1,IPv4,60
112,7.8.2,IPv6,60
113,8,LAN SERVICE MODEL/REQUIREMENTS,61
114,8.1,OVERVIEW,61
115,8.2,INTERFACES,61
116,8.2.1,LAN Interface,61
117,8.2.2,Ethernet (Wired LAN) Interface,61
118,8.2.3,WLAN (Wireless LAN) Interface,61
119,8.2.3.1,Wireless LAN Time Control,62
120,8.3,IP REQUIREMENTS,63
121,8.3.1,IPv4,63
122,8.3.2,IPv6,63
123,9,LAN NETWORKING SUPPORT SERVICES,64
124,9.1,DCHP,64
125,9.1.1,DHCPv4,64
126,9.1.2,DHCPv6,64
127,9.1.3,Fixed IP Addresses,64
128,9.2,DNS,65
129,9.2.1,DNSv4,65
130,9.2.2,DNS v6,65
131,9.3,FIREWALL,66
132,9.3.1,Packet Filtering (IP-Filter),66
133,9.3.2,Denial of Service (DoS)-Filter,66
134,9.4,MAC ADDRESS FILTER,66
135,9.5,LAN-2-LAN NETWORKING,67
136,9.6,LAN-2-WAN FORWARDING,67
137,9.6.1,IPv4,67
138,9.6.1.1,NAT-PT,67
139,9.6.1.2,ALG (Application Level Gateway),67
140,9.6.1.3,VPN Pass-through,67
141,9.6.2,IPv6,67
142,9.7,PORT FORWARDING,67
143,10,LAN LOCAL SERVICES,69
144,10.1,DYNAMIC DNS CLIENT,69
145,10.2,USB SUPPORT,69
146,10.2.1,USB Printers,69
147,10.2.2,USB Storage Devices,69
148,10.3,PRINT SERVER,70
149,10.4,USB STORAGE USER ACCESS CONTROL,70
150,10.5,FILE TRANSFER PROTOCOL (FTP) SERVER,70
151,10.6,SMB SHARE SERVER,70
152,10.7,UPNP,71
153,10.7.1,UPnP Internet Gateway Device (IGD),71
154,10.7.2,UPnP Media Server,71
155,10.7.2.1,Digital Living Network Alliance,72
156,11,TELEPHONY,73
